BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
Cardenal Herrera-CEU University;10773
Catholic University of Avila;4284
Catholic University of Valencia;12308
San Antonio Catholic University of Murcia;14922
University of Deusto;10967
University of Navarra;12701
European University of Madrid;20469
European University Miguel de Cervantes;5195
Francisco de Vitoria University;13498
International University of Andalucía;635
International University Isabel I de Castilla;5104
International University of La Rioja;75588
Menéndez Pelayo International University;1137
Mondragon University;6664
National University of Distance Education;128084
Comillas Pontifical University;11249
Pontifical University of Salamanca;4925
San Jorge University;3580
San Pablo-CEU University;10222
Abat Oliba-CEU University;2634
University of Vic - Central University of Catalonia;11869
International University of Catalonia;5099
Valencian International University;25607
Open University of Catalonia;71965
Ramon Llull University;17820
European University of Canarias;2440
European University of Valencia;5985
Loyola University Andalusia;4745
European University of the Atlantic;5362
Fernando Pessoa Canarias University;1366
Mid Atlantic University;4089
Villanueva International University;1985
Euneiz University;299
Universidad Intercontinental de la Empresa;258
ESIC University;2532
CUNEF University;2568
International Business University;2195
University of Design, Innovation and Technology;1933
University of the Hesperides;132
University of Helsinki;26562
University of Turku;15582
Åbo Akademi University;5506
